,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves
1000,Goiás,1–0,CSA,"8,826",Felipe Fernandes de Lima,1,0,"https://fbref.com/en/matches/56195f69/Goias-CSA-October-12-2019-Serie-A"">Match Report",49%,51%,79%,79%,21%,25%,100%,66%
1001,Fluminense,2–0,Bahia,"17,637",Heber Roberto Lopes,2,0,"https://fbref.com/en/matches/34b3cefe/Fluminense-Bahia-October-12-2019-Serie-A"">Match Report",49%,51%,83%,84%,23%,35%,83%,33%
1002,Palmeiras,1–0,Botafogo (RJ),"21,010",Anderson Daronco,1,0,"https://fbref.com/en/matches/838e837e/Palmeiras-Botafogo-RJ-October-12-2019-Serie-A"">Match Report",49%,51%,81%,82%,37%,0%,%,85%
1003,Ceará,1–0,Avaí,"16,892",Marcelo de Lima Henrique,1,0,"https://fbref.com/en/matches/6f7f9fbd/Ceara-Avai-October-13-2019-Serie-A"">Match Report",57%,43%,82%,77%,24%,38%,80%,83%
1004,Atl Paranaense,0–2,Flamengo,"25,473",Braulio da Silva Machado,0,2,"https://fbref.com/en/matches/e3a95d8d/Atletico-Paranaense-Flamengo-October-13-2019-Serie-A"">Match Report",%,100%,%,100%,0%,%,,
1005,Vasco da Gama,1–0,Fortaleza,"12,285",Daniel Nobre Bins,1,0,"https://fbref.com/en/matches/069c9e79/Vasco-da-Gama-Fortaleza-October-13-2019-Serie-A"">Match Report",58%,42%,82%,79%,31%,29%,100%,80%
1006,Internacional,0–0,Santos,"12,035",Bruno Arleu de Araujo,0,0,"https://fbref.com/en/matches/fc9b4569/Internacional-Santos-October-13-2019-Serie-A"">Match Report",47%,53%,83%,83%,8%,27%,100%,100%
1007,São Paulo,1–0,Corinthians,"37,561",Raphael Claus,1,0,"https://fbref.com/en/matches/ed7aae7a/Classico-Majestoso-Sao-Paulo-Corinthians-October-13-2019-Serie-A"">Match Report",55%,45%,89%,86%,18%,67%,100%,66%
1008,Atlético Mineiro,1–4,Grêmio,"12,974",Luiz Flávio de Oliveira,1,4,"https://fbref.com/en/matches/b85938bd/Atletico-Mineiro-Gremio-October-13-2019-Serie-A"">Match Report",43%,57%,79%,85%,19%,38%,40%,75%
1009,Chapecoense,1–1,Cruzeiro,"4,399",Caio Max Augusto Vieira,1,1,"https://fbref.com/en/matches/266d5a08/Chapecoense-Cruzeiro-October-13-2019-Serie-A"">Match Report",60%,40%,84%,79%,37%,35%,83%,85%
1010,CSA,2–2,Atlético Mineiro,"13,075",Savio Pereira,2,2,"https://fbref.com/en/matches/8768c192/CSA-Atletico-Mineiro-October-16-2019-Serie-A"">Match Report",42%,58%,83%,85%,50%,35%,85%,60%
1011,Grêmio,0–1,Bahia,"11,757",Rodolpho Toski Marques,0,1,"https://fbref.com/en/matches/6ea63d88/Gremio-Bahia-October-16-2019-Serie-A"">Match Report",63%,37%,90%,82%,35%,46%,83%,100%
1012,Fortaleza,1–2,Flamengo,"50,101",Paulo Roberto Alves Júnior,1,2,"https://fbref.com/en/matches/5aef7415/Fortaleza-Flamengo-October-16-2019-Serie-A"">Match Report",31%,69%,69%,88%,50%,36%,25%,66%
1013,Cruzeiro,1–0,São Paulo,"30,969",Wilton Sampaio,1,0,"https://fbref.com/en/matches/bfa4371a/Cruzeiro-Sao-Paulo-October-16-2019-Serie-A"">Match Report",40%,60%,79%,85%,18%,29%,100%,50%
1014,Palmeiras,1–0,Chapecoense,"22,738",Vinicius Gomes do Amaral,1,0,"https://fbref.com/en/matches/5b5b2d25/Palmeiras-Chapecoense-October-16-2019-Serie-A"">Match Report",72%,28%,87%,59%,27%,29%,100%,87%
1015,Vasco da Gama,2–1,Botafogo (RJ),"16,604",Flavio Rodrigues De Souza,2,1,"https://fbref.com/en/matches/3dd68023/Vasco-da-Gama-Botafogo-RJ-October-16-2019-Serie-A"">Match Report",36%,64%,75%,83%,50%,30%,66%,75%
1016,Goiás,2–2,Corinthians,"17,577",Wagner do Nascimento Magalhaes,2,2,"https://fbref.com/en/matches/d171daf8/Goias-Corinthians-October-16-2019-Serie-A"">Match Report",44%,56%,76%,84%,20%,29%,60%,25%
1017,Avaí,0–2,Internacional,"6,377",Thiago Duarte Peixoto,0,2,"https://fbref.com/en/matches/d6ad1869/Avai-Internacional-October-17-2019-Serie-A"">Match Report",30%,70%,75%,90%,35%,38%,80%,100%
1018,Santos,2–1,Ceará,"7,804",Rafael Traci,2,1,"https://fbref.com/en/matches/bfcdf86b/Santos-Ceara-October-17-2019-Serie-A"">Match Report",67%,33%,84%,69%,25%,27%,66%,75%
1019,Fluminense,1–2,Atl Paranaense,"16,109",Rodrigo D'Alonso Ferreira,1,2,"https://fbref.com/en/matches/af6efa5e/Fluminense-Atletico-Paranaense-October-17-2019-Serie-A"">Match Report",51%,49%,84%,83%,29%,29%,50%,75%
1020,Fortaleza,2–1,Grêmio,"26,801",André Luiz de Freitas Castro,2,1,"https://fbref.com/en/matches/e3c2b315/Fortaleza-Gremio-October-19-2019-Serie-A"">Match Report",40%,60%,81%,88%,50%,31%,75%,60%
1021,Corinthians,1–2,Cruzeiro,"31,631",Bruno Arleu de Araujo,1,2,"https://fbref.com/en/matches/045ac9e8/Corinthians-Cruzeiro-October-19-2019-Serie-A"">Match Report",54%,46%,86%,77%,31%,36%,60%,75%
1022,Internacional,0–1,Vasco da Gama,"24,435",Vinicius Gonçalves Dias Araujo,0,1,"https://fbref.com/en/matches/9d6fb9f2/Internacional-Vasco-da-Gama-October-20-2019-Serie-A"">Match Report",71%,29%,89%,75%,37%,33%,66%,100%
1023,São Paulo,1–0,Avaí,"20,763",Dewson Fernando Freitas da Silva,1,0,"https://fbref.com/en/matches/f30621e0/Sao-Paulo-Avai-October-20-2019-Serie-A"">Match Report",77%,23%,90%,63%,32%,17%,100%,85%
1024,Atlético Mineiro,2–0,Santos,"21,771",Caio Max Augusto Vieira,2,0,"https://fbref.com/en/matches/f93be9f5/Atletico-Mineiro-Santos-October-20-2019-Serie-A"">Match Report",31%,69%,69%,84%,44%,8%,100%,50%
1025,Flamengo,2–0,Fluminense,"52,279",Anderson Daronco,2,0,"https://fbref.com/en/matches/047a6f93/Flamengo-Fluminense-October-20-2019-Serie-A"">Match Report",47%,53%,82%,86%,44%,40%,100%,71%
1026,Chapecoense,2–2,Goiás,"4,042",Gilberto Rodrigues Castro Junior,2,2,"https://fbref.com/en/matches/4f782c08/Chapecoense-Goias-October-20-2019-Serie-A"">Match Report",50%,50%,82%,83%,33%,38%,75%,50%
1027,Atl Paranaense,1–1,Palmeiras,"18,732",Ricardo Marques Ribeiro,1,1,"https://fbref.com/en/matches/49cd89e1/Atletico-Paranaense-Palmeiras-October-20-2019-Serie-A"">Match Report",52%,48%,80%,80%,43%,25%,50%,83%
1028,Bahia,1–2,Ceará,"28,415",Luiz Flávio de Oliveira,1,2,"https://fbref.com/en/matches/61d80119/Bahia-Ceara-October-21-2019-Serie-A"">Match Report",48%,52%,78%,78%,33%,46%,66%,75%
1029,Botafogo (RJ),2–1,CSA,"18,199",Leandro Pedro Vuaden,2,1,"https://fbref.com/en/matches/f9be2d20/Botafogo-RJ-CSA-October-21-2019-Serie-A"">Match Report",44%,56%,89%,88%,29%,38%,66%,80%
1030,Ceará,1–1,Vasco da Gama,"35,178",Jean Pierre Goncalves Lima,1,1,"https://fbref.com/en/matches/638045c3/Ceara-Vasco-da-Gama-October-26-2019-Serie-A"">Match Report",64%,36%,85%,77%,24%,38%,66%,75%
1031,Corinthians,0–0,Santos,"32,142",Luiz Flávio de Oliveira,0,0,"https://fbref.com/en/matches/07cb9155/Corinthians-Santos-October-26-2019-Serie-A"">Match Report",37%,63%,72%,83%,36%,16%,100%,100%
1032,Bahia,2–3,Internacional,"27,542",Marcelo de Lima Henrique,2,3,"https://fbref.com/en/matches/664bde89/Bahia-Internacional-October-26-2019-Serie-A"">Match Report",56%,44%,78%,80%,38%,35%,50%,60%
1033,Fluminense,1–1,Chapecoense,"18,751",Savio Pereira,1,1,"https://fbref.com/en/matches/2064f126/Fluminense-Chapecoense-October-26-2019-Serie-A"">Match Report",68%,32%,87%,71%,31%,38%,80%,87%
1034,Cruzeiro,1–1,Fortaleza,"32,268",Raphael Claus,1,1,"https://fbref.com/en/matches/4c7d2cce/Cruzeiro-Fortaleza-October-26-2019-Serie-A"">Match Report",67%,33%,89%,77%,26%,14%,0%,80%
1035,Grêmio,3–0,Botafogo (RJ),"7,608",Rafael Traci,3,0,"https://fbref.com/en/matches/e0e30827/Gremio-Botafogo-RJ-October-27-2019-Serie-A"">Match Report",52%,48%,87%,86%,48%,22%,100%,60%
1036,Atl Paranaense,4–1,Goiás,"10,778",Flavio Rodrigues De Souza,4,1,"https://fbref.com/en/matches/328b16d7/Atletico-Paranaense-Goias-October-27-2019-Serie-A"">Match Report",68%,32%,86%,68%,67%,29%,50%,68%
1037,São Paulo,2–0,Atlético Mineiro,"18,815",Bruno Arleu de Araujo,2,0,"https://fbref.com/en/matches/93ad2b23/Sao-Paulo-Atletico-Mineiro-October-27-2019-Serie-A"">Match Report",60%,40%,86%,79%,38%,33%,100%,66%
1038,Avaí,1–2,Palmeiras,"8,815",Wilton Sampaio,1,2,"https://fbref.com/en/matches/c80e22be/Avai-Palmeiras-October-27-2019-Serie-A"">Match Report",37%,63%,66%,83%,55%,27%,50%,83%
1039,Flamengo,1–0,CSA,"69,846",Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/3c837bb4/Flamengo-CSA-October-27-2019-Serie-A"">Match Report",63%,37%,91%,82%,39%,57%,100%,85%
1040,Avaí,1–3,Fortaleza,"2,949",Marcelo Aparecido Ribeiro De Souza,1,3,"https://fbref.com/en/matches/d2c25a7f/Avai-Fortaleza-October-30-2019-Serie-A"">Match Report",50%,50%,83%,82%,27%,55%,50%,66%
1041,Palmeiras,3–0,São Paulo,"29,481",Raphael Claus,3,0,"https://fbref.com/en/matches/46e28187/Palmeiras-Sao-Paulo-October-30-2019-Serie-A"">Match Report",32%,68%,76%,87%,42%,29%,100%,62%
1042,Atlético Mineiro,0–2,Chapecoense,"19,058",Diego Pombo Lopez,0,2,"https://fbref.com/en/matches/0e579f75/Atletico-Mineiro-Chapecoense-October-30-2019-Serie-A"">Match Report",71%,29%,82%,62%,5%,30%,33%,100%
1043,Vasco da Gama,1–3,Grêmio,"15,708",Wilton Sampaio,1,3,"https://fbref.com/en/matches/869117c1/Vasco-da-Gama-Gremio-October-30-2019-Serie-A"">Match Report",43%,57%,81%,84%,6%,44%,25%,0%
1044,Ceará,2–0,Fluminense,"19,660",Leandro Pedro Vuaden,2,0,"https://fbref.com/en/matches/9302ca8a/Ceara-Fluminense-October-30-2019-Serie-A"">Match Report",29%,71%,79%,87%,50%,19%,100%,60%
1045,CSA,2–1,Corinthians,"15,428",Rafael Traci,2,1,"https://fbref.com/en/matches/b1f7237e/CSA-Corinthians-October-30-2019-Serie-A"">Match Report",45%,55%,82%,85%,45%,17%,50%,60%
1046,Santos,1–0,Bahia,"5,634",Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/226f87cb/Santos-Bahia-October-31-2019-Serie-A"">Match Report",61%,39%,84%,70%,26%,33%,100%,80%
1047,Goiás,2–2,Flamengo,"35,170",Ricardo Marques Ribeiro,2,2,"https://fbref.com/en/matches/7801fa7c/Goias-Flamengo-October-31-2019-Serie-A"">Match Report",37%,63%,70%,82%,22%,50%,66%,25%
1048,Internacional,1–1,Atl Paranaense,"18,767",André Luiz de Freitas Castro,1,1,"https://fbref.com/en/matches/4c21cc3e/Internacional-Atletico-Paranaense-October-31-2019-Serie-A"">Match Report",54%,46%,81%,79%,29%,33%,33%,75%
1049,Botafogo (RJ),0–2,Cruzeiro,"20,690",Caio Max Augusto Vieira,0,2,"https://fbref.com/en/matches/59491932/Botafogo-RJ-Cruzeiro-October-31-2019-Serie-A"">Match Report",56%,44%,82%,69%,20%,60%,33%,100%
1050,Fortaleza,2–2,Atlético Mineiro,"31,503",Rodolpho Toski Marques,2,2,"https://fbref.com/en/matches/18ceb1d7/Fortaleza-Atletico-Mineiro-November-2-2019-Serie-A"">Match Report",59%,41%,85%,78%,33%,38%,50%,66%
1051,Palmeiras,1–0,Ceará,"29,019",Felipe Fernandes de Lima,1,0,"https://fbref.com/en/matches/ebd5bbd5/Palmeiras-Ceara-November-2-2019-Serie-A"">Match Report",55%,45%,88%,87%,22%,38%,100%,50%
1052,Fluminense,0–0,Vasco da Gama,"16,056",Raphael Claus,0,0,"https://fbref.com/en/matches/17fcdb16/Fluminense-Vasco-da-Gama-November-2-2019-Serie-A"">Match Report",67%,34%,88%,76%,20%,17%,100%,100%
1053,Chapecoense,0–3,São Paulo,"14,206",Anderson Daronco,0,3,"https://fbref.com/en/matches/7c4055e3/Chapecoense-Sao-Paulo-November-2-2019-Serie-A"">Match Report",39%,61%,85%,90%,33%,50%,50%,100%
1054,Flamengo,4–1,Corinthians,"64,985",Jean Pierre Goncalves Lima,4,1,"https://fbref.com/en/matches/f96b3586/Flamengo-Corinthians-November-3-2019-Serie-A"">Match Report",69%,31%,88%,73%,31%,57%,75%,20%
1055,Atl Paranaense,1–0,CSA,"10,681",Savio Pereira,1,0,"https://fbref.com/en/matches/2b0b8bb3/Atletico-Paranaense-CSA-November-3-2019-Serie-A"">Match Report",100%,%,100%,%,%,0%,,
1056,Grêmio,2–0,Internacional,"40,618",Flavio Rodrigues De Souza,2,0,"https://fbref.com/en/matches/8d3de448/Gremio-Internacional-November-3-2019-Serie-A"">Match Report",59%,41%,87%,81%,43%,0%,%,77%
1057,Cruzeiro,1–1,Bahia,"21,933",Wagner Reway,1,1,"https://fbref.com/en/matches/f08b36b7/Cruzeiro-Bahia-November-3-2019-Serie-A"">Match Report",64%,36%,89%,77%,29%,23%,66%,80%
1058,Santos,4–1,Botafogo (RJ),"7,524",Rodrigo D'Alonso Ferreira,4,1,"https://fbref.com/en/matches/47375a24/Santos-Botafogo-RJ-November-3-2019-Serie-A"">Match Report",63%,37%,84%,69%,52%,46%,83%,66%
1059,Goiás,2–0,Avaí,"8,914",Vinicius Gonçalves Dias Araujo,2,0,"https://fbref.com/en/matches/3f76124d/Goias-Avai-November-3-2019-Serie-A"">Match Report",48%,52%,81%,81%,26%,33%,100%,66%
1060,Corinthians,3–2,Fortaleza,"22,453",Caio Max Augusto Vieira,3,2,"https://fbref.com/en/matches/73afddb6/Corinthians-Fortaleza-November-6-2019-Serie-A"">Match Report",59%,41%,88%,85%,40%,62%,75%,50%
1061,Atlético Mineiro,2–0,Goiás,"38,937",Thiago Duarte Peixoto,2,0,"https://fbref.com/en/matches/356b8bcf/Atletico-Mineiro-Goias-November-6-2019-Serie-A"">Match Report",52%,48%,80%,78%,42%,43%,100%,81%
1062,Avaí,1–2,Santos,"4,820",Marcelo de Lima Henrique,1,2,"https://fbref.com/en/matches/5d41ac04/Avai-Santos-November-6-2019-Serie-A"">Match Report",48%,53%,76%,79%,31%,33%,33%,75%
1063,Bahia,1–1,Chapecoense,"16,836",Vinicius Furlan,1,1,"https://fbref.com/en/matches/267c9132/Bahia-Chapecoense-November-6-2019-Serie-A"">Match Report",67%,33%,83%,68%,30%,29%,50%,85%
1064,Atl Paranaense,0–0,Cruzeiro,"11,838",Luiz Flávio de Oliveira,0,0,"https://fbref.com/en/matches/b9018983/Atletico-Paranaense-Cruzeiro-November-6-2019-Serie-A"">Match Report",,,,,,,,
1065,Vasco da Gama,1–2,Palmeiras,"8,492",Rafael Traci,1,2,"https://fbref.com/en/matches/39a17e8d/Vasco-da-Gama-Palmeiras-November-6-2019-Serie-A"">Match Report",46%,55%,73%,79%,38%,30%,66%,100%
1066,Ceará,2–0,Internacional,"19,966",Wilton Sampaio,2,0,"https://fbref.com/en/matches/efc9d522/Ceara-Internacional-November-7-2019-Serie-A"">Match Report",41%,59%,81%,87%,44%,19%,100%,50%
1067,São Paulo,0–2,Fluminense,"17,650",Daniel Nobre Bins,0,2,"https://fbref.com/en/matches/edf448ad/Sao-Paulo-Fluminense-November-7-2019-Serie-A"">Match Report",57%,44%,90%,86%,19%,80%,50%,100%
1068,Botafogo (RJ),0–1,Flamengo,"20,958",Leandro Pedro Vuaden,0,1,"https://fbref.com/en/matches/0fecbf77/Botafogo-RJ-Flamengo-November-7-2019-Serie-A"">Match Report",29%,71%,57%,87%,40%,17%,66%,100%
1069,Grêmio,2–1,CSA,"11,334",Jose Mendonca da Silva Junior,2,1,"https://fbref.com/en/matches/04044e9b/Gremio-CSA-November-7-2019-Serie-A"">Match Report",65%,35%,92%,86%,16%,33%,66%,66%
1070,Goiás,0–3,Santos,"13,226",Bruno Arleu de Araujo,0,3,"https://fbref.com/en/matches/38368036/Goias-Santos-November-9-2019-Serie-A"">Match Report",44%,56%,80%,83%,22%,65%,72%,100%
1071,Palmeiras,1–1,Corinthians,"36,290",Vinicius Gonçalves Dias Araujo,1,1,"https://fbref.com/en/matches/ce7e5a07/Palmeiras-Corinthians-November-9-2019-Serie-A"">Match Report",47%,53%,78%,80%,33%,29%,50%,85%
1072,Internacional,2–1,Fluminense,"11,781",Rodolpho Toski Marques,2,1,"https://fbref.com/en/matches/94d1c203/Internacional-Fluminense-November-10-2019-Serie-A"">Match Report",40%,60%,81%,87%,33%,36%,80%,60%
1073,São Paulo,0–1,Atl Paranaense,"13,795",Wagner do Nascimento Magalhaes,0,1,"https://fbref.com/en/matches/b3c564d8/Sao-Paulo-Atletico-Paranaense-November-10-2019-Serie-A"">Match Report",%,100%,%,100%,0%,%,,
1074,Cruzeiro,0–0,Atlético Mineiro,"43,205",Jean Pierre Goncalves Lima,0,0,"https://fbref.com/en/matches/84f15dca/Cruzeiro-Atletico-Mineiro-November-10-2019-Serie-A"">Match Report",59%,41%,79%,77%,13%,0%,%,100%
1075,Flamengo,3–1,Bahia,"65,930",Caio Max Augusto Vieira,3,1,"https://fbref.com/en/matches/8a072e02/Flamengo-Bahia-November-10-2019-Serie-A"">Match Report",66%,34%,86%,70%,38%,22%,100%,62%
1076,CSA,0–3,Vasco da Gama,"14,690",Rodrigo D'Alonso Ferreira,0,3,"https://fbref.com/en/matches/96245521/CSA-Vasco-da-Gama-November-10-2019-Serie-A"">Match Report",58%,42%,86%,82%,25%,75%,66%,80%
1077,Fortaleza,1–0,Ceará,"46,093",Flavio Rodrigues De Souza,1,0,"https://fbref.com/en/matches/01d38819/Fortaleza-Ceara-November-10-2019-Serie-A"">Match Report",37%,63%,75%,84%,22%,20%,100%,50%
1078,Chapecoense,0–1,Grêmio,"13,335",Marcelo de Lima Henrique,0,1,"https://fbref.com/en/matches/45cc59a3/Chapecoense-Gremio-November-10-2019-Serie-A"">Match Report",48%,52%,89%,88%,12%,29%,50%,100%
1079,Botafogo (RJ),2–0,Avaí,"19,075",Savio Pereira,2,0,"https://fbref.com/en/matches/73e0cf2c/Botafogo-RJ-Avai-November-11-2019-Serie-A"">Match Report",37%,63%,78%,86%,24%,29%,100%,75%
1080,Flamengo,4–4,Vasco da Gama,"52,757",Wilton Sampaio,4,4,"https://fbref.com/en/matches/0bdf40a0/Classico-dos-Milhoes-Flamengo-Vasco-da-Gama-November-13-2019-Serie-A"">Match Report",67%,33%,84%,71%,36%,67%,33%,25%
1081,Santos,1–1,São Paulo,"14,062",Flavio Rodrigues De Souza,1,1,"https://fbref.com/en/matches/16295fc5/Santos-Sao-Paulo-November-16-2019-Serie-A"">Match Report",41%,59%,77%,82%,19%,27%,75%,66%
1082,Fluminense,1–1,Atlético Mineiro,"24,405",Leandro Pedro Vuaden,1,1,"https://fbref.com/en/matches/e8ef28d2/Fluminense-Atletico-Mineiro-November-16-2019-Serie-A"">Match Report",54%,46%,82%,83%,27%,38%,80%,100%
1083,Grêmio,0–1,Flamengo,"28,541",Raphael Claus,0,1,"https://fbref.com/en/matches/0835a0d9/Gremio-Flamengo-November-17-2019-Serie-A"">Match Report",69%,32%,85%,68%,23%,56%,80%,100%
1084,Bahia,1–1,Palmeiras,"23,194",Bruno Arleu de Araujo,1,1,"https://fbref.com/en/matches/bc5dc325/Bahia-Palmeiras-November-17-2019-Serie-A"">Match Report",46%,54%,84%,87%,33%,23%,80%,80%
1085,Corinthians,0–0,Internacional,"29,159",Marcelo de Lima Henrique,0,0,"https://fbref.com/en/matches/88b365f0/Corinthians-Internacional-November-17-2019-Serie-A"">Match Report",50%,50%,77%,76%,21%,15%,100%,100%
1086,Atl Paranaense,1–0,Botafogo (RJ),"17,027",Braulio da Silva Machado,1,0,"https://fbref.com/en/matches/86cde0bd/Atletico-Paranaense-Botafogo-RJ-November-17-2019-Serie-A"">Match Report",100%,%,50%,%,%,0%,,
1087,Chapecoense,1–0,Ceará,"3,431",Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/70c39dda/Chapecoense-Ceara-November-17-2019-Serie-A"">Match Report",40%,60%,80%,85%,42%,40%,100%,80%
1088,Fortaleza,3–0,CSA,"34,231",Anderson Daronco,3,0,"https://fbref.com/en/matches/f633035c/Fortaleza-CSA-November-17-2019-Serie-A"">Match Report",64%,36%,89%,81%,40%,25%,100%,50%
1089,Vasco da Gama,1–1,Goiás,"18,620",Paulo Roberto Alves Júnior,1,1,"https://fbref.com/en/matches/07a43a92/Vasco-da-Gama-Goias-November-18-2019-Serie-A"">Match Report",48%,52%,79%,79%,33%,23%,100%,66%
1090,Cruzeiro,0–0,Avaí,"21,217",Diego Pombo Lopez,0,0,"https://fbref.com/en/matches/b93f40f3/Cruzeiro-Avai-November-18-2019-Serie-A"">Match Report",73%,27%,87%,68%,19%,40%,100%,100%
1091,Santos,4–1,Cruzeiro,"7,905",Leandro Pedro Vuaden,4,1,"https://fbref.com/en/matches/95da0fa4/Santos-Cruzeiro-November-23-2019-Serie-A"">Match Report",56%,44%,83%,79%,44%,22%,50%,63%
1092,Goiás,4–3,Bahia,"10,259",Ricardo Marques Ribeiro,4,3,"https://fbref.com/en/matches/3a8ecdb3/Goias-Bahia-November-24-2019-Serie-A"">Match Report",47%,53%,82%,79%,38%,30%,0%,20%
1093,Atlético Mineiro,0–1,Atl Paranaense,"34,432",Edina Alves Batista,0,1,"https://fbref.com/en/matches/944ff349/Atletico-Mineiro-Atletico-Paranaense-November-24-2019-Serie-A"">Match Report",%,100%,0%,%,,,,
1094,Palmeiras,1–2,Grêmio,"22,767",Wilton Sampaio,1,2,"https://fbref.com/en/matches/90ecfb39/Palmeiras-Gremio-November-24-2019-Serie-A"">Match Report",39%,61%,79%,85%,35%,43%,33%,83%
1095,Botafogo (RJ),1–0,Corinthians,"22,558",André Luiz de Freitas Castro,1,0,"https://fbref.com/en/matches/7a77b774/Botafogo-RJ-Corinthians-November-24-2019-Serie-A"">Match Report",29%,71%,64%,88%,63%,20%,100%,80%
1096,Ceará,1–1,São Paulo,"29,001",Rafael Traci,1,1,"https://fbref.com/en/matches/0a310e3e/Ceara-Sao-Paulo-November-24-2019-Serie-A"">Match Report",49%,51%,81%,83%,35%,33%,50%,83%
1097,Avaí,0–1,Chapecoense,"2,316",Raphael Claus,0,1,"https://fbref.com/en/matches/e41b29fd/Avai-Chapecoense-November-24-2019-Serie-A"">Match Report",57%,43%,83%,76%,15%,13%,50%,100%
1098,Internacional,2–2,Fortaleza,"26,012",Jose Mendonca da Silva Junior,2,2,"https://fbref.com/en/matches/ca3cb6d1/Internacional-Fortaleza-November-24-2019-Serie-A"">Match Report",60%,40%,86%,78%,26%,50%,33%,66%
1099,CSA,0–1,Fluminense,"8,916",Luiz Flávio de Oliveira,0,1,"https://fbref.com/en/matches/47f88a38/CSA-Fluminense-November-25-2019-Serie-A"">Match Report",39%,61%,84%,92%,22%,37%,85%,100%
1100,Internacional,1–2,Goiás,"19,331",Caio Max Augusto Vieira,1,2,"https://fbref.com/en/matches/f73f5d89/Internacional-Goias-November-27-2019-Serie-A"">Match Report",69%,31%,84%,61%,38%,54%,57%,88%
1101,Chapecoense,0–1,Botafogo (RJ),"3,582",Anderson Daronco,0,1,"https://fbref.com/en/matches/094649d1/Chapecoense-Botafogo-RJ-November-27-2019-Serie-A"">Match Report",59%,41%,85%,73%,15%,22%,50%,100%
1102,Bahia,1–1,Atlético Mineiro,"12,759",Thiago Duarte Peixoto,1,1,"https://fbref.com/en/matches/5c595859/Bahia-Atletico-Mineiro-November-27-2019-Serie-A"">Match Report",58%,42%,83%,77%,25%,30%,66%,75%
1103,Flamengo,4–1,Ceará,"67,539",Paulo Roberto Alves Júnior,4,1,"https://fbref.com/en/matches/64ceb8f4/Flamengo-Ceara-November-27-2019-Serie-A"">Match Report",66%,34%,90%,78%,27%,20%,0%,57%
1104,Corinthians,3–0,Avaí,"17,441",Wagner do Nascimento Magalhaes,3,0,"https://fbref.com/en/matches/482dce1e/Corinthians-Avai-November-27-2019-Serie-A"">Match Report",64%,36%,87%,76%,28%,11%,100%,66%
1105,Atl Paranaense,2–0,Grêmio,"20,974",Bruno Arleu de Araujo,2,0,"https://fbref.com/en/matches/314ecdba/Atletico-Paranaense-Gremio-November-27-2019-Serie-A"">Match Report",100%,%,100%,%,%,0%,,
1106,Fluminense,1–0,Palmeiras,"30,947",Leandro Pedro Vuaden,1,0,"https://fbref.com/en/matches/cca49ec2/Fluminense-Palmeiras-November-28-2019-Serie-A"">Match Report",46%,54%,87%,88%,31%,30%,100%,75%
1107,Fortaleza,2–1,Santos,"33,925",Diego Pombo Lopez,2,1,"https://fbref.com/en/matches/8bd0ed1a/Fortaleza-Santos-November-28-2019-Serie-A"">Match Report",37%,63%,76%,85%,27%,29%,75%,33%
1108,São Paulo,1–0,Vasco da Gama,"11,970",Savio Pereira,1,0,"https://fbref.com/en/matches/748be13c/Sao-Paulo-Vasco-da-Gama-November-28-2019-Serie-A"">Match Report",56%,44%,86%,83%,40%,71%,100%,66%
1109,Cruzeiro,0–1,CSA,"34,920",Vinicius Gonçalves Dias Araujo,0,1,"https://fbref.com/en/matches/b542ed75/Cruzeiro-CSA-November-28-2019-Serie-A"">Match Report",73%,28%,85%,61%,43%,60%,66%,100%
1110,Botafogo (RJ),0–1,Internacional,"30,956",Rodolpho Toski Marques,0,1,"https://fbref.com/en/matches/eec53ffa/Botafogo-RJ-Internacional-November-30-2019-Serie-A"">Match Report",44%,56%,80%,86%,11%,41%,85%,100%
1111,Ceará,1–1,Atl Paranaense,"24,262",Marcelo Aparecido Ribeiro De Souza,1,1,"https://fbref.com/en/matches/e0d59b5f/Ceara-Atletico-Paranaense-November-30-2019-Serie-A"">Match Report",51%,49%,81%,78%,50%,33%,66%,87%
1112,Avaí,1–1,Fluminense,"3,237",Daniel Nobre Bins,1,1,"https://fbref.com/en/matches/af01e104/Avai-Fluminense-December-1-2019-Serie-A"">Match Report",44%,56%,79%,84%,20%,29%,50%,100%
1113,Goiás,1–2,Fortaleza,"27,284",Dewson Fernando Freitas da Silva,1,2,"https://fbref.com/en/matches/52142cfe/Goias-Fortaleza-December-1-2019-Serie-A"">Match Report",58%,42%,84%,80%,21%,55%,66%,75%
1114,Palmeiras,1–3,Flamengo,"22,219",Ricardo Marques Ribeiro,1,3,"https://fbref.com/en/matches/866d06c6/Palmeiras-Flamengo-December-1-2019-Serie-A"">Match Report",44%,56%,86%,87%,36%,89%,62%,80%
1115,CSA,1–2,Bahia,"7,371",Vinicius Furlan,1,2,"https://fbref.com/en/matches/bb7981e4/CSA-Bahia-December-1-2019-Serie-A"">Match Report",52%,48%,84%,83%,31%,47%,75%,75%
